municipio,crop,month,rank,is_top3,mean_yield,std_yield,high_yield_rate,n_samples,score,recommendation
Asuncion Mita,Camote,9,9,False,81.86,10.53,70.8,48,73.93,secundario
Asuncion Mita,Camote,2,10,False,79.11,6.06,74.5,51,73.47,secundario
Asuncion Mita,Camote,1,11,False,80.14,8.34,70.6,51,72.85,secundario
Asuncion Mita,Camote,3,12,False,79.06,7.89,72.5,51,72.76,secundario
Asuncion Mita,Cana de azucar,6,1,True,92.7,7.86,97.9,48,89.24,recomendado
Asuncion Mita,Cana de azucar,8,2,True,92.07,6.8,97.9,48,88.88,recomendado
Asuncion Mita,Cana de azucar,7,3,True,90.36,9.3,91.7,48,85.77,recomendado
Asuncion Mita,Cana de azucar,10,4,False,88.86,9.54,93.8,48,85.41,secundario
Asuncion Mita,Cana de azucar,9,5,False,88.1,9.34,89.6,48,83.67,secundario
Asuncion Mita,Cana de azucar,5,6,False,87.94,11.0,87.5,48,82.86,secundario
Asuncion Mita,Cana de azucar,11,7,False,84.09,7.94,91.7,48,81.76,secundario
Asuncion Mita,Cana de azucar,2,8,False,79.38,6.52,74.5,51,73.63,secundario
Asuncion Mita,Cana de azucar,1,9,False,78.92,5.99,74.5,51,73.35,secundario
Asuncion Mita,Cana de azucar,12,10,False,79.58,8.14,70.8,48,72.57,secundario
Asuncion Mita,Cana de azucar,3,11,False,78.93,6.17,70.6,51,72.17,secundario
Asuncion Mita,Cana de azucar,4,12,False,78.86,7.81,66.7,48,70.87,secundario
Asuncion Mita,Cardamomo,8,1,True,85.83,7.46,93.8,48,83.54,recomendado
Asuncion Mita,Cardamomo,6,2,True,86.06,9.58,87.5,48,81.71,recomendado
Asuncion Mita,Cardamomo,10,3,True,84.46,9.81,77.1,48,77.53,recomendado
Asuncion Mita,Cardamomo,9,4,False,85.16,10.62,72.9,48,76.7,secundario
Asuncion Mita,Cardamomo,7,5,False,81.75,10.63,75.0,48,75.11,secundario
Asuncion Mita,Cardamomo,5,6,False,80.15,11.94,66.7,48,71.5,secundario
Asuncion Mita,Cardamomo,11,7,False,75.09,10.16,41.7,48,60.8,secundario
Asuncion Mita,Cardamomo,12,8,False,69.3,6.05,22.9,48,51.61,secundario
Asuncion Mita,Cardamomo,1,9,False,67.88,6.25,11.8,51,47.34,secundario
Asuncion Mita,Cardamomo,4,10,False,66.21,7.09,10.4,48,45.8,secundario
Asuncion Mita,Cardamomo,2,11,False,64.76,6.08,3.9,51,42.97,secundario
Asuncion Mita,Cardamomo,3,12,False,63.38,5.81,3.9,51,42.08,secundario
Asuncion Mita,Cebolla,4,1,True,90.85,6.7,100.0,48,88.72,recomendado
Asuncion Mita,Cebolla,12,2,True,90.82,6.65,100.0,48,88.7,recomendado
Asuncion Mita,Cebolla,1,3,True,88.1,6.1,100.0,51,86.96,recomendado
Asuncion Mita,Cebolla,11,4,False,89.27,8.56,93.8,48,85.72,secundario
Asuncion Mita,Cebolla,2,5,False,86.81,7.1,98.0,51,85.48,secundario
Asuncion Mita,Cebolla,3,6,False,85.96,7.13,90.2,51,82.57,secundario
Asuncion Mita,Cebolla,5,7,False,83.76,10.25,81.2,48,78.31,secundario
Asuncion Mita,Cebolla,7,8,False,84.04,13.54,72.9,48,75.82,secundario
Asuncion Mita,Cebolla,8,9,False,80.62,11.81,64.6,48,71.19,secundario
Asuncion Mita,Cebolla,10,10,False,78.72,11.02,54.2,48,66.87,secundario
Asuncion Mita,Cebolla,9,11,False,73.24,9.19,45.8,48,60.9,secundario
Asuncion Mita,Cebolla,6,12,False,72.9,8.95,39.6,48,58.81,secundario
Asuncion Mita,Chile,4,1,True,90.16,8.0,97.9,48,87.58,recomendado
Asuncion Mita,Chile,12,2,True,88.91,7.82,93.8,48,85.52,recomendado
Asuncion Mita,Chile,7,3,True,89.15,8.72,91.7,48,85.01,recomendado
Asuncion Mita,Chile,11,4,False,87.42,8.24,93.8,48,84.53,secundario
Asuncion Mita,Chile,1,5,False,84.48,6.52,96.1,51,83.41,secundario
Asuncion Mita,Chile,2,6,False,85.02,6.19,94.1,51,83.19,secundario
Asuncion Mita,Chile,5,7,False,87.19,9.74,89.6,48,83.06,secundario
Asuncion Mita,Chile,8,8,False,87.18,10.52,85.4,48,81.76,secundario
Asuncion Mita,Chile,3,9,False,83.68,7.34,90.2,51,81.09,secundario
Asuncion Mita,Chile,10,10,False,83.77,10.02,79.2,48,77.7,secundario
Asuncion Mita,Chile,6,11,False,80.55,9.28,72.9,48,73.77,secundario
Asuncion Mita,Chile,9,12,False,77.15,7.86,62.5,48,68.51,secundario
Asuncion Mita,Coliflor,12,1,True,83.51,6.61,91.7,48,81.45,recomendado
Asuncion Mita,Coliflor,11,2,True,84.34,7.8,83.3,48,79.43,recomendado
Asuncion Mita,Coliflor,7,3,True,82.2,10.74,72.9,48,74.77,recomendado
Asuncion Mita,Coliflor,1,4,False,80.24,7.25,72.5,51,73.56,secundario
Asuncion Mita,Coliflor,4,5,False,77.61,7.3,66.7,48,70.08,secundario
Asuncion Mita,Coliflor,3,6,False,75.98,6.46,64.7,51,68.48,secundario
Asuncion Mita,Coliflor,8,7,False,78.22,12.55,60.4,48,68.34,secundario
Asuncion Mita,Coliflor,2,8,False,76.64,6.34,58.8,51,67.14,secundario
Asuncion Mita,Coliflor,10,9,False,77.78,10.36,56.2,48,66.91,secundario
Asuncion Mita,Coliflor,5,10,False,75.03,10.0,56.2,48,65.14,secundario
Asuncion Mita,Coliflor,6,11,False,73.95,8.52,43.8,48,60.77,secundario
Asuncion Mita,Coliflor,9,12,False,70.12,8.49,27.1,48,53.28,secundario
Asuncion Mita,Espinaca,12,1,True,80.33,8.31,79.2,48,75.55,recomendado
Asuncion Mita,Espinaca,11,2,True,79.41,9.64,72.9,48,73.01,recomendado
Asuncion Mita,Espinaca,2,3,True,78.26,6.0,70.6,51,71.74,recomendado
Asuncion Mita,Espinaca,4,4,False,77.79,6.69,70.8,48,71.48,secundario
Asuncion Mita,Espinaca,7,5,False,78.91,9.11,64.6,48,70.21,secundario
Asuncion Mita,Espinaca,1,6,False,77.98,6.9,64.7,51,69.75,secundario
Asuncion Mita,Espinaca,8,7,False,75.74,9.88,56.2,48,65.61,secundario
Asuncion Mita,Espinaca,3,8,False,74.36,7.0,49.0,51,62.69,secundario
Asuncion Mita,Espinaca,10,9,False,73.91,11.0,41.7,48,59.99,secundario
Asuncion Mita,Espinaca,5,10,False,71.79,10.73,39.6,48,58.0,secundario
Asuncion Mita,Espinaca,6,11,False,67.57,7.59,14.6,48,47.92,secundario
Asuncion Mita,Espinaca,9,12,False,67.36,7.02,14.6,48,47.81,secundario
Asuncion Mita,Fresa,11,1,True,85.58,7.32,93.8,48,83.38,recomendado
Asuncion Mita,Fresa,12,2,True,84.31,7.84,89.6,48,81.29,recomendado
Asuncion Mita,Fresa,1,3,True,82.11,6.32,82.4,51,77.76,recomendado
Asuncion Mita,Fresa,7,4,False,83.3,10.04,79.2,48,77.39,secundario
Asuncion Mita,Fresa,2,5,False,80.05,6.21,78.4,51,75.25,secundario
Asuncion Mita,Fresa,8,6,False,80.39,10.14,72.9,48,73.62,secundario
Asuncion Mita,Fresa,5,7,False,80.14,9.81,72.9,48,73.47,secundario
Asuncion Mita,Fresa,4,8,False,80.1,8.02,68.8,48,72.29,secundario
Asuncion Mita,Fresa,10,9,False,80.31,10.12,64.6,48,71.07,secundario
Asuncion Mita,Fresa,3,10,False,77.99,7.88,64.7,51,69.71,secundario
Asuncion Mita,Fresa,6,11,False,77.6,9.37,60.4,48,68.1,secundario
Asuncion Mita,Fresa,9,12,False,76.19,9.08,50.0,48,64.07,secundario
Asuncion Mita,Frijol,5,1,True,91.66,8.89,97.9,48,88.51,recomendado
Asuncion Mita,Frijol,4,2,True,89.76,8.12,97.9,48,87.32,recomendado
Asuncion Mita,Frijol,12,3,True,89.29,5.65,97.9,48,87.13,recomendado
Asuncion Mita,Frijol,11,4,False,89.41,7.16,93.8,48,85.88,secundario
Asuncion Mita,Frijol,8,5,False,89.93,9.68,89.6,48,84.85,secundario
Asuncion Mita,Frijol,7,6,False,89.26,10.31,87.5,48,83.75,secundario
Asuncion Mita,Frijol,1,7,False,84.77,6.57,96.1,51,83.6,secundario
Asuncion Mita,Frijol,2,8,False,84.25,8.16,88.2,51,80.82,secundario
Asuncion Mita,Frijol,3,9,False,84.47,8.02,86.3,51,80.39,secundario
Asuncion Mita,Frijol,10,10,False,85.95,10.45,79.2,48,79.1,secundario
Asuncion Mita,Frijol,9,11,False,83.47,9.52,79.2,48,77.53,secundario
Asuncion Mita,Frijol,6,12,False,82.44,9.32,79.2,48,76.87,secundario
Asuncion Mita,Lechuga,1,1,True,78.1,6.1,78.4,51,73.99,recomendado
Asuncion Mita,Lechuga,11,2,True,79.45,8.19,72.9,48,73.11,recomendado
Asuncion Mita,Lechuga,12,3,True,78.54,6.52,72.9,48,72.6,recomendado
Asuncion Mita,Lechuga,7,4,False,78.01,8.68,66.7,48,70.27,secundario
Asuncion Mita,Lechuga,4,5,False,75.88,7.38,54.2,48,65.2,secundario
Asuncion Mita,Lechuga,2,6,False,76.21,7.63,47.1,51,63.27,secundario
Asuncion Mita,Lechuga,8,7,False,74.81,9.19,50.0,48,63.17,secundario
Asuncion Mita,Lechuga,3,8,False,74.5,6.5,41.2,51,60.45,secundario
Asuncion Mita,Lechuga,10,9,False,73.35,10.08,43.8,48,60.3,secundario
Asuncion Mita,Lechuga,5,10,False,72.59,8.83,41.7,48,59.24,secundario
Asuncion Mita,Lechuga,6,11,False,69.12,9.51,20.8,48,50.71,secundario
Asuncion Mita,Lechuga,9,12,False,67.72,8.5,22.9,48,50.47,secundario
Asuncion Mita,Limon,5,1,True,90.66,8.19,97.9,48,87.89,recomendado
Asuncion Mita,Limon,8,2,True,91.15,10.24,93.8,48,86.86,recomendado
Asuncion Mita,Limon,7,3,True,90.1,9.11,91.7,48,85.61,recomendado
Asuncion Mita,Limon,11,4,False,85.65,6.12,95.8,48,84.11,secundario
Asuncion Mita,Limon,4,5,False,84.93,6.7,93.8,48,83.0,secundario
Asuncion Mita,Limon,9,6,False,84.58,9.43,89.6,48,81.38,secundario
Asuncion Mita,Limon,12,7,False,84.22,6.96,87.5,48,80.65,secundario
Asuncion Mita,Limon,10,8,False,85.53,10.64,81.2,48,79.44,secundario
Asuncion Mita,Limon,6,9,False,84.26,9.99,81.2,48,78.65,secundario
Asuncion Mita,Limon,1,10,False,80.16,6.17,84.3,51,77.09,secundario
Asuncion Mita,Limon,2,11,False,79.97,6.26,80.4,51,75.78,secundario
Asuncion Mita,Limon,3,12,False,80.88,8.52,70.6,51,73.32,secundario
Asuncion Mita,Maiz,8,1,True,93.68,7.43,95.8,48,89.27,recomendado
Asuncion Mita,Maiz,7,2,True,93.44,7.63,95.8,48,89.11,recomendado
Asuncion Mita,Maiz,5,3,True,90.93,8.69,97.9,48,88.04,recomendado
Asuncion Mita,Maiz,9,4,False,89.11,10.0,93.8,48,85.55,secundario
Asuncion Mita,Maiz,6,5,False,89.98,9.57,87.5,48,84.26,secundario
Asuncion Mita,Maiz,10,6,False,89.31,10.88,87.5,48,83.75,secundario
Asuncion Mita,Maiz,11,7,False,84.8,9.45,81.2,48,79.03,secundario
Asuncion Mita,Maiz,4,8,False,81.76,6.85,81.2,48,77.18,secundario
Asuncion Mita,Maiz,12,9,False,80.79,7.04,79.2,48,75.91,secundario
Asuncion Mita,Maiz,1,10,False,78.69,7.02,74.5,51,73.15,secundario
Asuncion Mita,Maiz,2,11,False,78.35,7.1,70.6,51,71.75,secundario
Asuncion Mita,Maiz,3,12,False,78.14,7.06,70.6,51,71.61,secundario
Asuncion Mita,Mango,7,1,True,94.49,5.79,100.0,48,91.13,recomendado
Asuncion Mita,Mango,8,2,True,95.06,7.88,93.8,48,89.52,recomendado
Asuncion Mita,Mango,5,3,True,91.6,8.05,100.0,48,89.14,recomendado
Asuncion Mita,Mango,10,4,False,90.24,9.93,93.8,48,86.29,secundario
Asuncion Mita,Mango,6,5,False,91.89,9.97,87.5,48,85.48,secundario
Asuncion Mita,Mango,4,6,False,85.96,7.19,93.8,48,83.64,secundario
Asuncion Mita,Mango,9,7,False,87.38,10.36,83.3,48,81.28,secundario
Asuncion Mita,Mango,11,8,False,84.8,9.81,81.2,48,79.01,secundario
Asuncion Mita,Mango,12,9,False,79.66,7.28,77.1,48,74.54,secundario
Asuncion Mita,Mango,3,10,False,79.72,6.84,74.5,51,73.83,secundario
Asuncion Mita,Mango,2,11,False,78.46,6.7,70.6,51,71.84,secundario
Asuncion Mita,Mango,1,12,False,75.66,5.97,52.9,51,64.77,secundario
Asuncion Mita,Mani,5,1,True,91.91,7.61,100.0,48,89.36,recomendado
Asuncion Mita,Mani,7,2,True,92.03,9.13,91.7,48,86.86,recomendado
Asuncion Mita,Mani,4,3,True,89.0,6.17,95.8,48,86.29,recomendado
Asuncion Mita,Mani,11,4,False,87.88,7.99,93.8,48,84.85,secundario
Asuncion Mita,Mani,2,5,False,85.45,7.35,96.1,51,84.0,secundario
Asuncion Mita,Mani,1,6,False,84.94,6.01,96.1,51,83.73,secundario
Asuncion Mita,Mani,8,7,False,90.0,11.51,85.4,48,83.55,secundario
Asuncion Mita,Mani,12,8,False,86.02,7.19,91.7,48,83.06,secundario
Asuncion Mita,Mani,6,9,False,85.75,10.09,85.4,48,80.86,secundario
Asuncion Mita,Mani,10,10,False,86.59,11.75,83.3,48,80.7,secundario
Asuncion Mita,Mani,3,11,False,83.42,7.6,88.2,51,80.31,secundario
Asuncion Mita,Mani,9,12,False,83.99,11.58,72.9,48,75.89,secundario
Asuncion Mita,Melon,12,1,True,89.48,5.28,100.0,48,87.9,recomendado
Asuncion Mita,Melon,5,2,True,90.94,8.58,95.8,48,87.43,recomendado
Asuncion Mita,Melon,1,3,True,89.31,6.82,98.0,51,87.12,recomendado
Asuncion Mita,Melon,2,4,False,88.19,6.28,100.0,51,87.01,secundario
Asuncion Mita,Melon,4,5,False,90.13,6.82,95.8,48,86.99,secundario
Asuncion Mita,Melon,7,6,False,89.96,9.86,93.8,48,86.11,secundario
Asuncion Mita,Melon,3,7,False,87.15,6.77,98.0,51,85.72,secundario
Asuncion Mita,Melon,11,8,False,89.33,8.3,89.6,48,84.53,secundario
Asuncion Mita,Melon,8,9,False,86.93,11.92,75.0,48,78.41,secundario
Asuncion Mita,Melon,10,10,False,82.17,10.7,68.8,48,73.5,secundario
Asuncion Mita,Melon,6,11,False,80.55,10.62,64.6,48,71.2,secundario
Asuncion Mita,Melon,9,12,False,79.74,9.84,62.5,48,70.09,secundario
Asuncion Mita,Naranja,7,1,True,90.25,7.95,95.8,48,87.01,recomendado
Asuncion Mita,Naranja,8,2,True,90.06,8.75,95.8,48,86.85,recomendado
Asuncion Mita,Naranja,5,3,True,90.26,8.69,91.7,48,85.73,recomendado
Asuncion Mita,Naranja,6,4,False,89.35,9.66,91.7,48,85.09,secundario
Asuncion Mita,Naranja,9,5,False,88.14,8.54,93.8,48,84.99,secundario
Asuncion Mita,Naranja,10,6,False,88.64,10.9,85.4,48,82.69,secundario
Asuncion Mita,Naranja,11,7,False,83.94,8.9,87.5,48,80.37,secundario
Asuncion Mita,Naranja,12,8,False,80.48,5.76,77.1,48,75.15,secundario
Asuncion Mita,Naranja,4,9,False,80.25,8.4,70.8,48,72.99,secundario
Asuncion Mita,Naranja,3,10,False,79.14,6.31,72.5,51,72.89,secundario
Asuncion Mita,Naranja,1,11,False,78.11,6.98,64.7,51,69.83,secundario
Asuncion Mita,Naranja,2,12,False,77.35,6.7,60.8,51,68.18,secundario
Asuncion Mita,Papa,11,1,True,80.73,7.07,77.1,48,75.25,recomendado
Asuncion Mita,Papa,7,2,True,79.7,7.59,72.9,48,73.3,recomendado
Asuncion Mita,Papa,10,3,True,78.94,11.41,62.5,48,69.49,recomendado
Asuncion Mita,Papa,8,4,False,77.15,10.22,60.4,48,67.76,secundario
Asuncion Mita,Papa,12,5,False,76.76,8.31,60.4,48,67.61,secundario
Asuncion Mita,Papa,6,6,False,76.13,9.87,60.4,48,67.11,secundario
Asuncion Mita,Papa,5,7,False,76.15,8.5,54.2,48,65.33,secundario
Asuncion Mita,Papa,2,8,False,75.22,7.65,47.1,51,62.63,secundario
Asuncion Mita,Papa,1,9,False,74.96,7.68,45.1,51,61.87,secundario
Asuncion Mita,Papa,4,10,False,72.55,9.04,43.8,48,59.83,secundario
Asuncion Mita,Papa,9,11,False,71.05,11.54,39.6,48,57.48,secundario
Asuncion Mita,Papa,3,12,False,69.47,7.66,21.6,51,51.25,secundario
Asuncion Mita,Papaya,8,1,True,93.38,6.64,97.9,48,89.74,recomendado
Asuncion Mita,Papaya,7,2,True,90.34,8.65,95.8,48,87.04,recomendado
Asuncion Mita,Papaya,6,3,True,90.82,9.18,93.8,48,86.7,recomendado
Asuncion Mita,Papaya,10,4,False,89.41,9.23,93.8,48,85.78,secundario
Asuncion Mita,Papaya,9,5,False,89.24,8.83,93.8,48,85.69,secundario
Asuncion Mita,Papaya,5,6,False,89.05,9.21,93.8,48,85.55,secundario
Asuncion Mita,Papaya,11,7,False,83.48,9.08,85.4,48,79.43,secundario
Asuncion Mita,Papaya,12,8,False,79.96,5.57,81.2,48,76.07,secundario
Asuncion Mita,Papaya,3,9,False,78.62,6.94,70.6,51,71.93,secundario
Asuncion Mita,Papaya,4,10,False,79.02,7.3,68.8,48,71.62,secundario
Asuncion Mita,Papaya,2,11,False,77.84,6.61,68.6,51,70.85,secundario
Asuncion Mita,Papaya,1,12,False,77.58,5.96,64.7,51,69.54,secundario
Asuncion Mita,Pepino,11,1,True,89.49,7.85,95.8,48,86.52,recomendado
Asuncion Mita,Pepino,5,2,True,89.2,8.96,95.8,48,86.28,recomendado
Asuncion Mita,Pepino,12,3,True,87.58,6.83,97.9,48,85.96,recomendado
Asuncion Mita,Pepino,7,4,False,89.41,9.28,93.8,48,85.78,secundario
Asuncion Mita,Pepino,1,5,False,86.6,6.08,96.1,51,84.81,secundario
Asuncion Mita,Pepino,4,6,False,88.52,8.04,91.7,48,84.64,secundario
Asuncion Mita,Pepino,8,7,False,88.65,10.51,87.5,48,83.35,secundario
Asuncion Mita,Pepino,3,8,False,83.71,6.76,88.2,51,80.55,secundario
Asuncion Mita,Pepino,10,9,False,85.86,9.85,83.3,48,80.32,secundario
Asuncion Mita,Pepino,6,10,False,83.75,8.25,87.5,48,80.27,secundario
Asuncion Mita,Pepino,2,11,False,84.05,8.22,86.3,51,80.11,secundario
Asuncion Mita,Pepino,9,12,False,82.35,8.41,81.2,48,77.48,secundario
Asuncion Mita,Pina,8,1,True,90.99,6.6,97.9,48,88.19,recomendado
Asuncion Mita,Pina,6,2,True,88.77,8.16,95.8,48,86.04,recomendado
Asuncion Mita,Pina,10,3,True,88.15,8.91,95.8,48,85.6,recomendado
Asuncion Mita,Pina,7,4,False,89.5,10.12,85.4,48,83.29,secundario
